Victoria in Future 2019 (VIF2019) Population and Household Projections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact: David Sykes (DELWP) 03 8683 0936 | david.sykes@delwp.vic.gov.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Households by household type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data for Statistical Areas from Level 2 to Level 4 (SA2, SA3, SA4), Greater Capital City Statistical Areas (GCCSA) and Victoria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,As at June 30th 2016,,,,,,,,As at June 30th 2021,,,,,,,,As at June 30th 2026,,,,,,,,As at June 30th 2031,,,,,,,,As at June 30th 2036,,,,,,
2RVIC,205,20503,205031091,SA2,Phillip Island,"1,031","1,605",508,24,112,"1,610","4,890",,"1,102","1,907",552,28,125,"1,888","5,604",,"1,121","2,152",574,32,133,"2,145","6,156",,"1,157","2,371",604,38,149,"2,397","6,717",,"1,223","2,579",643,41,161,"2,641","7,288"
2RVIC,205,20503,205031092,SA2,Wilsons Promontory,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2RVIC,205,20503,205031093,SA2,Wonthaggi - Inverloch,"2,151","3,268","1,087",77,305,"3,553","10,441",,"2,304","3,753","1,182",88,345,"4,069","11,742",,"2,430","4,224","1,278",100,384,"4,612","13,027",,"2,607","4,666","1,395",110,430,"5,162","14,369",,"2,785","5,031","1,496",118,468,"5,656","15,555"
2RVIC,205,20504,205041094,SA2,Churchill,"1,428","1,472",535,37,132,"1,049","4,652",,"1,429","1,587",538,35,124,"1,130","4,844",,"1,445","1,662",541,33,110,"1,246","5,036",,"1,435","1,720",566,32,111,"1,389","5,252",,"1,422","1,779",596,33,116,"1,527","5,473"
2RVIC,205,20504,205041095,SA2,Moe - Newborough,"1,657","1,885","1,086",60,207,"2,737","7,633",,"1,659","1,976","1,089",58,207,"2,863","7,851",,"1,692","2,033","1,110",58,208,"3,002","8,103",,"1,734","2,085","1,148",56,209,"3,134","8,366",,"1,768","2,129","1,184",55,216,"3,285","8,637"
2RVIC,205,20504,205041096,SA2,Morwell,"1,199","1,518",974,57,219,"2,480","6,448",,"1,201","1,619",985,55,216,"2,618","6,695",,"1,198","1,716",996,54,213,"2,760","6,938",,"1,190","1,820","1,011",55,220,"2,915","7,212",,"1,196","1,918","1,024",57,228,"3,093","7,516"
2RVIC,205,20504,205041097,SA2,Traralgon,"3,122","3,093","1,350",94,338,"3,474","11,472",,"3,216","3,420","1,397",99,350,"3,816","12,299",,"3,312","3,722","1,457",104,366,"4,169","13,130",,"3,440","4,027","1,529",110,389,"4,541","14,037",,"3,571","4,294","1,608",117,407,"4,915","14,913"
2RVIC,205,20504,205041098,SA2,Yallourn North - Glengarry,641,552,172,12,44,414,"1,834",,660,556,173,12,44,399,"1,844",,678,564,176,13,42,408,"1,881",,695,566,179,13,43,436,"1,931",,711,576,187,12,44,464,"1,994"
2RVIC,205,20505,205051099,SA2,Alps - West,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2RVIC,205,20505,205051100,SA2,Longford - Loch Sport,470,691,119,4,50,619,"1,953",,482,726,122,4,54,648,"2,036",,481,770,127,4,55,714,"2,151",,494,818,132,4,56,767,"2,273",,505,860,143,4,57,818,"2,388"
2RVIC,205,20505,205051101,SA2,Maffra,"1,636","1,835",548,41,123,"1,635","5,818",,"1,686","1,948",565,41,126,"1,762","6,129",,"1,754","2,027",591,41,126,"1,899","6,439",,"1,827","2,110",626,43,131,"2,062","6,799",,"1,880","2,195",660,43,135,"2,211","7,123"
2RVIC,205,20505,205051102,SA2,Rosedale,514,524,126,19,43,352,"1,577",,518,557,129,19,43,372,"1,639",,523,579,133,20,44,397,"1,696",,524,600,144,21,46,426,"1,763",,537,608,161,22,47,448,"1,822"
2RVIC,205,20505,205051103,SA2,Sale,"1,666","1,712",724,57,212,"2,065","6,436",,"1,700","1,843",734,57,210,"2,219","6,763",,"1,739","1,965",753,59,206,"2,400","7,122",,"1,776","2,093",787,62,216,"2,611","7,547",,"1,802","2,229",815,66,226,"2,820","7,958"
2RVIC,205,20505,205051104,SA2,Yarram,521,840,224,12,73,871,"2,540",,529,873,232,11,78,923,"2,646",,539,891,241,11,79,969,"2,730",,547,902,243,10,79,"1,029","2,811",,556,903,250,9,82,"1,091","2,892"
2GMEL,206,20601,206011105,SA2,Brunswick,"2,138","3,343",724,269,"2,207","3,692","12,374",,"2,542","3,894",843,295,"2,407","4,291","14,273",,"2,942","4,233",958,315,"2,491","4,789","15,728",,"3,346","4,492","1,098",332,"2,582","5,289","17,140",,"3,698","4,800","1,264",351,"2,631","5,803","18,547"
2GMEL,206,20601,206011106,SA2,Brunswick East,958,"1,509",344,101,852,"1,785","5,548",,"1,283","1,904",431,122,"1,029","2,252","7,021",,"1,527","2,055",485,126,"1,069","2,475","7,737",,"1,812","2,165",576,133,"1,100","2,688","8,475",,"2,075","2,288",680,141,"1,132","2,925","9,241"
2GMEL,206,20601,206011107,SA2,Brunswick West,"1,411","1,592",490,128,803,"2,201","6,624",,"1,643","1,782",557,138,855,"2,487","7,462",,"1,751","1,835",599,140,855,"2,609","7,790",,"1,841","1,913",646,149,890,"2,751","8,190",,"1,913","2,031",695,160,936,"2,916","8,650"
2GMEL,206,20601,206011108,SA2,Coburg,"3,379","2,611",954,209,"1,122","2,596","10,870",,"3,825","2,922","1,073",225,"1,188","2,899","12,133",,"4,215","3,182","1,183",240,"1,231","3,183","13,233",,"4,610","3,472","1,321",260,"1,303","3,498","14,463",,"4,966","3,814","1,472",278,"1,376","3,856","15,763"
2GMEL,206,20601,206011109,SA2,Pascoe Vale South,"1,613",848,371,70,133,784,"3,820",,"1,716",944,394,79,151,844,"4,128",,"1,794","1,055",407,85,164,906,"4,412",,"1,873","1,169",425,92,173,969,"4,699",,"1,967","1,273",455,93,176,"1,040","5,004"
2GMEL,206,20602,206021110,SA2,Alphington - Fairfield,"1,183",963,278,46,323,"1,162","3,955",,"1,229","1,074",296,48,360,"1,269","4,277",,"1,283","1,186",315,52,380,"1,363","4,579",,"1,359","1,285",335,54,394,"1,455","4,881",,"1,460","1,361",365,57,399,"1,546","5,189"
2GMEL,206,20602,206021111,SA2,Northcote,"3,046","2,647",852,174,"1,239","3,096","11,053",,"3,270","2,930",930,191,"1,340","3,402","12,062",,"3,447","3,185",997,205,"1,422","3,705","12,963",,"3,639","3,453","1,074",216,"1,512","4,002","13,895",,"3,865","3,732","1,162",226,"1,575","4,306","14,865"
2GMEL,206,20602,206021112,SA2,Thornbury,"2,204","1,948",638,145,876,"2,695","8,507",,"2,315","2,060",683,152,912,"2,875","8,997",,"2,415","2,193",729,162,956,"3,068","9,522",,"2,514","2,353",774,172,"1,014","3,272","10,101",,"2,610","2,532",817,181,"1,057","3,486","10,682"
2GMEL,206,20603,206031113,SA2,Ascot Vale,"1,830","1,500",645,135,530,"1,858","6,498",,"2,002","1,638",702,146,549,"2,037","7,074",,"2,162","1,793",771,159,582,"2,241","7,707",,"2,300","1,981",845,175,637,"2,474","8,413",,"2,442","2,207",925,191,690,"2,723","9,178"
2GMEL,206,20603,206031114,SA2,Essendon - Aberfeldie,"3,948","2,678",927,185,525,"3,472","11,736",,"4,389","3,091","1,013",204,582,"3,869","13,146",,"4,736","3,350","1,089",211,595,"4,145","14,126",,"5,135","3,586","1,188",219,605,"4,456","15,189",,"5,521","3,811","1,303",228,617,"4,778","16,260"
2GMEL,206,20603,206031115,SA2,Flemington,892,"1,043",532,146,596,"1,744","4,953",,"1,009","1,176",596,157,643,"1,973","5,555",,"1,137","1,287",667,163,665,"2,199","6,118",,"1,269","1,383",749,170,685,"2,428","6,684",,"1,389","1,481",842,178,698,"2,663","7,250"
2GMEL,206,20603,206031116,SA2,Moonee Ponds,"1,922","1,540",449,120,446,"1,828","6,305",,"2,194","1,857",515,140,532,"2,135","7,372",,"2,588","2,235",606,166,614,"2,527","8,734",,"2,898","2,506",689,182,665,"2,848","9,788",,"3,211","2,773",784,196,705,"3,178","10,846"
2GMEL,206,20604,206041117,SA2,Carlton,609,"1,505",504,366,"2,469","4,453","9,906",,778,"2,008",619,440,"3,079","5,345","12,269",,875,"2,334",646,459,"3,244","5,634","13,192",,"1,086","2,535",758,458,"3,275","5,916","14,028",,"1,383","2,604",957,451,"3,260","6,291","14,947"
2GMEL,206,20604,206041118,SA2,Docklands,769,"1,912",258,160,881,"1,786","5,767",,"1,318","3,010",406,228,"1,257","2,806","9,024",,"1,895","3,879",587,253,"1,371","3,753","11,737",,"2,210","4,230",745,256,"1,349","4,322","13,112",,"2,372","4,534",959,268,"1,369","4,801","14,304"
2GMEL,206,20604,206041119,SA2,East Melbourne,317,929,64,39,274,"1,082","2,705",,346,"1,039",72,41,283,"1,204","2,985",,356,"1,102",78,43,276,"1,263","3,116",,367,"1,166",85,46,283,"1,330","3,277",,375,"1,244",87,50,300,"1,383","3,439"
2GMEL,206,20604,206041120,SA2,Flemington Racecourse,8,14,2,1,4,14,44,,5,18,2,2,14,16,58,,53,134,18,16,86,129,436,,167,383,59,34,179,364,"1,187",,230,483,77,35,186,464,"1,476"
2GMEL,206,20604,206041121,SA2,Kensington (Vic.),"1,096","1,424",352,120,655,"1,648","5,295",,"1,207","1,531",399,122,645,"1,860","5,765",,"1,310","1,610",451,129,642,"2,059","6,201",,"1,480","1,812",542,149,711,"2,419","7,114",,"1,591","2,011",632,162,779,"2,714","7,889"
2GMEL,206,20604,206041122,SA2,Melbourne,"1,001","4,239",489,"1,044","5,475","7,312","19,560",,"1,859","7,061",819,"1,407","7,636","11,353","30,134",,"2,729","8,893","1,050","1,443","8,028","13,867","36,010",,"3,336","9,438","1,403","1,398","7,814","15,440","38,829",,"3,788","9,739","2,033","1,397","7,730","16,901","41,588"
2GMEL,206,20604,206041123,SA2,North Melbourne,"1,220","2,399",632,259,"2,022","3,345","9,878",,"1,712","3,317",852,331,"2,567","4,365","13,143",,"2,241","3,926","1,069",364,"2,717","5,113","15,431",,"3,005","4,528","1,429",401,"2,915","6,112","18,389",,"3,670","4,963","1,809",426,"3,041","6,997","20,906"
2GMEL,206,20604,206041124,SA2,Parkville,344,598,102,46,482,733,"2,305",,418,743,108,52,560,884,"2,765",,498,798,112,54,558,957,"2,976",,637,821,139,55,568,"1,050","3,270",,774,844,187,56,603,"1,156","3,620"
2GMEL,206,20604,206041125,SA2,South Yarra - West,386,"1,053",133,62,293,"1,434","3,362",,436,"1,185",149,68,314,"1,620","3,772",,446,"1,243",154,69,312,"1,700","3,926",,458,"1,311",167,74,321,"1,797","4,128",,465,"1,397",175,79,339,"1,877","4,332"
2GMEL,206,20604,206041126,SA2,Southbank,846,"3,236",387,359,"1,866","3,623","10,317",,"1,446","5,020",632,495,"2,598","5,683","15,874",,"2,102","6,544",992,563,"2,913","7,625","20,738",,"2,484","7,086","1,326",549,"2,827","8,618","22,890",,"2,784","7,555","1,753",550,"2,791","9,479","24,911"
2GMEL,206,20604,206041127,SA2,West Melbourne,0,1,0,0,0,1,2,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
2GMEL,206,20605,206051128,SA2,Albert Park,"1,674","2,348",457,116,548,"2,584","7,727",,"1,781","2,553",506,127,573,"2,843","8,384",,"1,829","2,735",547,140,602,"3,079","8,932",,"1,835","2,932",572,152,646,"3,287","9,423",,"1,864","3,154",593,160,684,"3,491","9,947"
2GMEL,206,20605,206051129,SA2,Elwood,"1,476","2,142",540,123,811,"3,373","8,466",,"1,484","2,197",577,125,797,"3,534","8,714",,"1,449","2,302",602,133,806,"3,711","9,002",,"1,395","2,486",613,147,864,"3,908","9,413",,"1,347","2,713",626,160,917,"4,148","9,911"
2GMEL,206,20605,206051130,SA2,Port Melbourne,"1,717","2,587",608,116,476,"3,056","8,560",,"1,755","2,712",666,119,474,"3,236","8,963",,"1,761","2,868",705,127,487,"3,437","9,385",,"1,765","3,071",740,137,513,"3,641","9,868",,"1,784","3,317",760,144,548,"3,849","10,402"
2GMEL,206,20605,206051131,SA2,Port Melbourne Industrial,2,4,0,0,2,4,13,,21,94,2,15,87,83,303,,222,702,52,101,551,640,"2,268",,782,"1,808",192,194,"1,061","1,669","5,706",,"1,662","3,339",452,291,"1,570","3,220","10,534"
2GMEL,206,20605,206051132,SA2,South Melbourne,942,"1,873",434,129,525,"2,482","6,386",,"1,294","2,587",593,180,722,"3,409","8,785",,"1,705","3,234",776,219,868,"4,353","11,155",,"2,027","3,656",933,240,943,"5,056","12,855",,"2,296","4,057","1,091",261,"1,013","5,725","14,443"
2GMEL,206,20605,206051133,SA2,St Kilda,"1,521","4,126",676,203,"1,664","7,177","15,367",,"1,726","4,552",777,213,"1,741","8,170","17,179",,"1,867","4,739",860,216,"1,730","8,859","18,271",,"1,952","4,885",938,221,"1,737","9,426","19,158",,"2,020","5,098","1,034",227,"1,773","9,945","20,097"
2GMEL,206,20605,206051134,SA2,St Kilda East,"1,359","2,156",477,154,"1,184","3,529","8,859",,"1,433","2,267",517,162,"1,219","3,767","9,365",,"1,472","2,338",543,168,"1,223","3,962","9,706",,"1,497","2,430",572,178,"1,274","4,179","10,130",,"1,518","2,574",602,180,"1,329","4,398","10,601"
2GMEL,206,20606,206061135,SA2,Armadale,952,"1,224",288,75,399,"1,599","4,536",,"1,092","1,376",331,84,442,"1,804","5,130",,"1,190","1,472",362,89,459,"1,947","5,520",,"1,271","1,577",395,96,486,"2,095","5,920",,"1,354","1,705",421,101,514,"2,253","6,349"
2GMEL,206,20606,206061136,SA2,Prahran - Windsor,"1,334","3,029",518,224,"1,560","4,389","11,053",,"1,467","3,311",548,231,"1,624","4,811","11,993",,"1,669","3,493",606,238,"1,646","5,227","12,879",,"1,908","3,639",702,244,"1,680","5,632","13,805",,"2,136","3,818",846,254,"1,726","6,061","14,841"
2GMEL,206,20606,206061137,SA2,South Yarra - East,"1,131","3,503",609,251,"1,657","5,245","12,396",,"1,419","4,273",705,279,"1,916","6,335","14,928",,"1,747","4,661",821,284,"1,978","7,161","16,651",,"2,146","4,887","1,015",285,"2,011","7,957","18,301",,"2,560","5,093","1,282",293,"2,052","8,693","19,973"
2GMEL,206,20606,206061138,SA2,Toorak,"1,430","2,006",421,82,435,"2,194","6,568",,"1,459","2,044",428,82,438,"2,219","6,670",,"1,509","2,046",443,84,439,"2,253","6,775",,"1,563","2,060",460,87,453,"2,299","6,922",,"1,617","2,112",475,91,471,"2,341","7,107"
2GMEL,206,20607,206071139,SA2,Abbotsford,583,"1,379",184,97,655,"1,417","4,314",,800,"1,752",228,107,775,"1,826","5,487",,964,"1,862",262,104,777,"2,058","6,025",,"1,148","1,931",328,102,768,"2,261","6,537",,"1,339","2,036",413,105,782,"2,449","7,124"
2GMEL,206,20607,206071140,SA2,Carlton North - Princes Hill,751,"1,080",281,56,810,"1,116","4,094",,768,"1,127",290,54,770,"1,189","4,198",,787,"1,154",300,55,738,"1,243","4,278",,780,"1,181",320,57,739,"1,298","4,375",,764,"1,233",335,61,768,"1,361","4,522"
2GMEL,206,20607,206071141,SA2,Collingwood,455,"1,324",414,87,693,"1,716","4,690",,569,"1,636",503,97,817,"2,071","5,693",,686,"1,797",583,102,852,"2,331","6,350",,821,"1,930",701,107,883,"2,634","7,076",,951,"2,079",834,110,917,"2,963","7,854"
2GMEL,206,20607,206071142,SA2,Fitzroy,655,"1,421",437,89,770,"1,821","5,193",,709,"1,553",478,94,803,"2,011","5,648",,769,"1,678",532,99,818,"2,208","6,105",,830,"1,787",583,102,837,"2,396","6,535",,879,"1,919",633,109,867,"2,606","7,013"
2GMEL,206,20607,206071143,SA2,Fitzroy North,"1,163","1,606",359,85,849,"1,960","6,021",,"1,223","1,762",391,92,892,"2,162","6,522",,"1,308","1,892",425,99,928,"2,370","7,021",,"1,412","2,020",467,104,975,"2,567","7,545",,"1,517","2,174",517,108,"1,005","2,768","8,089"
2GMEL,206,20607,206071144,SA2,Richmond (Vic.),"2,368","4,416","1,155",334,"2,238","5,279","15,790",,"2,828","5,113","1,339",374,"2,491","6,158","18,302",,"3,337","5,602","1,564",405,"2,591","6,991","20,491",,"3,799","5,958","1,811",427,"2,666","7,710","22,372",,"4,228","6,374","2,094",454,"2,763","8,443","24,355"
2GMEL,206,20607,206071145,SA2,Yarra - North,"1,047","1,073",271,49,419,"1,128","3,986",,"1,131","1,190",300,52,434,"1,273","4,380",,"1,368","1,438",369,64,513,"1,554","5,307",,"1,610","1,694",449,79,606,"1,853","6,291",,"1,813","1,930",520,87,682,"2,124","7,157"
2GMEL,207,20701,207011146,SA2,Ashburton (Vic.),"1,315",611,265,27,80,594,"2,890",,"1,326",676,277,29,81,622,"3,011",,"1,334",755,280,32,87,673,"3,162",,"1,341",845,288,35,96,735,"3,340",,"1,371",932,297,37,100,794,"3,531"
2GMEL,207,20701,207011147,SA2,Balwyn,"2,338","1,414",728,111,201,"1,568","6,360",,"2,390","1,549",735,119,210,"1,622","6,625",,"2,445","1,645",746,123,213,"1,669","6,840",,"2,526","1,712",769,124,217,"1,728","7,075",,"2,641","1,753",801,127,224,"1,792","7,338"
2GMEL,207,20701,207011148,SA2,Balwyn North,"3,426","1,537",818,93,154,"1,295","7,323",,"3,479","1,619",817,100,171,"1,264","7,450",,"3,557","1,711",811,105,181,"1,258","7,622",,"3,672","1,811",821,108,188,"1,290","7,890",,"3,817","1,876",845,109,191,"1,342","8,180"
2GMEL,207,20701,207011149,SA2,Camberwell,"3,191","2,031",690,121,346,"1,857","8,236",,"3,277","2,300",723,132,378,"2,059","8,868",,"3,394","2,484",745,140,399,"2,221","9,383",,"3,565","2,615",782,147,421,"2,356","9,885",,"3,800","2,726",824,150,433,"2,464","10,399"
2GMEL,207,20701,207011150,SA2,Glen Iris - East,"2,762","1,500",456,59,202,"1,197","6,176",,"2,854","1,641",484,64,220,"1,259","6,521",,"2,918","1,795",502,71,242,"1,341","6,869",,"2,978","1,986",514,76,265,"1,444","7,263",,"3,106","2,164",531,76,267,"1,555","7,698"
2GMEL,207,20701,207011151,SA2,Hawthorn,"2,421","2,808",547,267,"1,163","3,927","11,132",,"2,707","3,039",599,278,"1,225","4,241","12,089",,"3,030","3,214",664,288,"1,262","4,559","13,017",,"3,352","3,397",748,306,"1,323","4,895","14,020",,"3,636","3,610",822,319,"1,380","5,185","14,952"
2GMEL,207,20701,207011152,SA2,Hawthorn East,"1,822","1,848",440,131,663,"2,117","7,021",,"2,072","2,076",494,140,706,"2,357","7,845",,"2,297","2,216",548,145,725,"2,546","8,477",,"2,499","2,352",609,155,766,"2,738","9,119",,"2,688","2,538",668,163,808,"2,940","9,805"
2GMEL,207,20701,207011153,SA2,Kew,"3,337","2,491",918,197,667,"2,469","10,078",,"3,419","2,727",945,206,696,"2,622","10,616",,"3,523","2,905",974,213,712,"2,791","11,119",,"3,663","3,062","1,017",223,745,"2,957","11,666",,"3,833","3,219","1,070",229,770,"3,109","12,231"
2GMEL,207,20701,207011154,SA2,Kew East,"1,075",566,257,18,109,520,"2,545",,"1,081",605,269,20,116,544,"2,634",,"1,092",656,280,22,126,563,"2,739",,"1,108",721,282,24,134,599,"2,870",,"1,151",781,291,24,141,634,"3,022"
2GMEL,207,20701,207011155,SA2,Surrey Hills (West) - Canterbury,"2,591","1,564",452,73,151,"1,319","6,150",,"2,598","1,753",458,76,160,"1,424","6,468",,"2,616","1,891",459,80,167,"1,527","6,739",,"2,660","1,985",466,82,173,"1,617","6,983",,"2,749","2,041",481,83,174,"1,685","7,213"
2GMEL,207,20702,207021156,SA2,Bulleen,"1,646","1,268",411,47,117,937,"4,426",,"1,726","1,348",437,49,126,"1,009","4,694",,"1,812","1,449",459,52,132,"1,062","4,967",,"1,903","1,561",478,55,138,"1,108","5,243",,"2,000","1,694",501,59,146,"1,159","5,559"
2GMEL,207,20702,207021157,SA2,Doncaster,"2,751","2,483",892,145,349,"2,082","8,702",,"3,299","2,836","1,027",168,410,"2,404","10,144",,"3,821","3,075","1,159",178,430,"2,605","11,267",,"4,266","3,266","1,295",188,447,"2,756","12,217",,"4,583","3,455","1,414",196,464,"2,878","12,989"
2GMEL,207,20702,207021159,SA2,Templestowe,"2,686","1,730",539,68,88,948,"6,059",,"2,651","1,895",538,69,91,"1,014","6,258",,"2,635","2,003",539,70,92,"1,081","6,420",,"2,656","2,060",543,70,92,"1,139","6,560",,"2,714","2,083",556,69,92,"1,175","6,690"
2GMEL,207,20702,207021160,SA2,Templestowe Lower,"2,067","1,443",562,77,93,"1,039","5,280",,"2,118","1,484",598,81,96,"1,074","5,451",,"2,147","1,534",612,86,101,"1,100","5,579",,"2,172","1,620",615,89,106,"1,128","5,730",,"2,223","1,738",615,92,111,"1,163","5,943"
2GMEL,207,20702,207021424,SA2,Doncaster East (North),"2,510","1,383",473,62,59,693,"5,180",,"2,665","1,613",505,69,66,799,"5,717",,"2,769","1,786",527,71,67,891,"6,111",,"2,903","1,913",552,73,68,969,"6,477",,"3,046","2,014",583,75,68,"1,037","6,822"
2GMEL,207,20702,207021425,SA2,Doncaster East (South),"1,993","1,440",649,93,165,"1,307","5,647",,"2,165","1,518",705,97,172,"1,399","6,055",,"2,316","1,620",769,103,182,"1,483","6,473",,"2,433","1,740",819,111,197,"1,567","6,868",,"2,542","1,918",862,120,214,"1,655","7,312"
2GMEL,207,20703,207031161,SA2,Blackburn,"3,122","2,018",775,113,338,"1,949","8,317",,"3,348","2,220",831,126,372,"2,066","8,964",,"3,514","2,443",875,134,393,"2,189","9,548",,"3,708","2,687",921,142,417,"2,340","10,215",,"3,915","2,936",980,148,428,"2,503","10,910"
2GMEL,207,20703,207031162,SA2,Blackburn South,"1,598",943,431,33,143,"1,041","4,189",,"1,608",981,444,34,147,"1,071","4,285",,"1,611","1,038",453,36,154,"1,103","4,396",,"1,629","1,122",459,38,165,"1,150","4,563",,"1,676","1,211",461,38,170,"1,199","4,755"
2GMEL,207,20703,207031163,SA2,Box Hill,"2,270","1,838",775,191,822,"2,400","8,297",,"2,826","2,294",914,241,"1,028","2,883","10,187",,"3,407","2,692","1,056",271,"1,142","3,289","11,856",,"3,999","3,010","1,224",286,"1,199","3,671","13,390",,"4,564","3,258","1,412",295,"1,233","4,023","14,785"
2GMEL,207,20703,207031164,SA2,Box Hill North,"2,558","1,593",765,118,362,"1,571","6,968",,"2,665","1,664",788,123,375,"1,614","7,229",,"2,742","1,754",807,127,384,"1,647","7,461",,"2,835","1,868",835,133,399,"1,713","7,782",,"2,938","1,989",862,136,409,"1,795","8,130"
2GMEL,207,20703,207031165,SA2,Burwood,"1,168",985,476,104,658,"1,383","4,774",,"1,414","1,203",522,124,782,"1,493","5,538",,"1,702","1,311",552,132,756,"1,530","5,983",,"2,061","1,333",617,129,735,"1,565","6,439",,"2,394","1,341",733,131,740,"1,628","6,967"
2GMEL,207,20703,207031166,SA2,Burwood East,"1,423","1,049",405,55,270,790,"3,992",,"1,572","1,093",440,61,293,841,"4,300",,"1,841","1,214",502,71,326,923,"4,877",,"2,098","1,357",561,79,368,998,"5,460",,"2,332","1,529",617,86,406,"1,086","6,056"
2GMEL,207,20703,207031167,SA2,Surrey Hills (East) - Mont Albert,"1,577",939,314,37,146,932,"3,945",,"1,603","1,027",312,39,150,968,"4,098",,"1,645","1,105",321,39,152,"1,025","4,286",,"1,695","1,177",333,41,160,"1,098","4,505",,"1,764","1,246",356,42,165,"1,172","4,746"
2GMEL,208,20801,208011168,SA2,Beaumaris,"2,225","1,510",378,38,55,"1,153","5,359",,"2,254","1,676",383,43,60,"1,206","5,623",,"2,266","1,834",388,47,64,"1,262","5,860",,"2,286","1,979",395,48,67,"1,350","6,125",,"2,357","2,101",412,47,68,"1,425","6,409"
2GMEL,208,20801,208011169,SA2,Brighton (Vic.),"3,322","2,723",812,85,244,"2,547","9,733",,"3,423","3,015",836,94,265,"2,746","10,379",,"3,467","3,205",848,102,274,"2,928","10,825",,"3,544","3,370",867,104,288,"3,085","11,258",,"3,688","3,490",901,104,296,"3,187","11,665"
2GMEL,208,20801,208011170,SA2,Brighton East,"2,568","1,493",570,57,109,"1,348","6,146",,"2,565","1,655",583,60,114,"1,463","6,440",,"2,547","1,793",589,66,121,"1,570","6,685",,"2,538","1,937",596,70,129,"1,669","6,940",,"2,595","2,059",604,69,135,"1,755","7,216"
2GMEL,208,20801,208011171,SA2,Cheltenham - Highett (West),"1,638","1,039",492,37,140,"1,227","4,572",,"1,833","1,184",543,42,160,"1,361","5,122",,"1,967","1,316",591,47,174,"1,494","5,588",,"2,063","1,462",636,53,190,"1,636","6,039",,"2,178","1,635",678,58,209,"1,794","6,551"
2GMEL,208,20801,208011172,SA2,Hampton,"2,777","1,636",711,51,195,"1,896","7,266",,"2,845","1,830",751,58,215,"2,043","7,742",,"2,900","2,055",782,63,237,"2,219","8,256",,"2,976","2,280",805,68,252,"2,414","8,795",,"3,098","2,461",830,69,259,"2,600","9,317"
2GMEL,208,20801,208011173,SA2,Sandringham - Black Rock,"2,447","1,937",538,57,151,"1,878","7,008",,"2,569","2,175",562,65,167,"2,031","7,569",,"2,664","2,379",588,71,181,"2,197","8,079",,"2,751","2,578",611,74,191,"2,358","8,564",,"2,891","2,729",636,75,192,"2,488","9,013"
2GMEL,208,20802,208021174,SA2,Bentleigh - McKinnon,"3,521","1,867",871,105,318,"2,194","8,876",,"3,688","2,061",911,118,356,"2,257","9,391",,"3,791","2,275",923,129,388,"2,345","9,851",,"3,901","2,488",932,137,414,"2,475","10,347",,"4,058","2,665",960,141,426,"2,627","10,878"
2GMEL,208,20802,208021176,SA2,Carnegie,"2,191","2,065",533,138,733,"2,552","8,212",,"2,513","2,316",585,152,786,"2,830","9,181",,"2,777","2,452",643,157,805,"3,012","9,847",,"3,007","2,553",706,165,853,"3,188","10,473",,"3,228","2,701",781,173,899,"3,392","11,173"
2GMEL,208,20802,208021177,SA2,Caulfield - North,"2,645","2,374",537,93,750,"2,423","8,822",,"2,872","2,625",572,98,780,"2,602","9,549",,"3,135","2,790",613,104,813,"2,792","10,247",,"3,369","2,928",672,112,867,"2,987","10,934",,"3,573","3,086",729,116,907,"3,168","11,580"
2GMEL,208,20802,208021178,SA2,Caulfield - South,"2,502","1,857",560,92,369,"1,755","7,135",,"2,523","2,001",572,99,382,"1,847","7,423",,"2,557","2,130",586,102,395,"1,967","7,737",,"2,603","2,243",594,106,418,"2,072","8,036",,"2,686","2,341",620,109,435,"2,163","8,354"
2GMEL,208,20802,208021179,SA2,Elsternwick,"1,491","1,330",350,59,321,"1,608","5,159",,"1,573","1,435",366,62,340,"1,705","5,482",,"1,650","1,527",382,65,359,"1,802","5,785",,"1,718","1,630",402,71,381,"1,906","6,109",,"1,806","1,729",430,76,399,"2,018","6,458"
2GMEL,208,20802,208021180,SA2,Hughesdale,"1,071",733,281,76,221,743,"3,126",,"1,159",797,305,82,232,805,"3,380",,"1,238",876,331,83,243,874,"3,645",,"1,311",962,354,88,256,947,"3,918",,"1,382","1,052",381,94,270,"1,023","4,203"
